pl_name,detection,T0,T0_err+,T0_err-,period,period_err+,period_err-,T14,T14_err+,T14_err-,lambda,lambda_err+,lambda_err-,incl,incl_err+,incl_err-,b,b_err+,b_err-,pl_radius,pl_radius_err+,pl_radius_err-,aRs,aRs_err+,aRs_err-,st_radius,st_radius_err+,st_radius_err-,ecc,ecc_err+,ecc_err-,st_mass,st_mass_err+,st_mass_err-,RpRs,RpRs_err+,RpRs_err-
Kepler-257 c,Transit,2455007.78643,0.00063,0.00063,6.581484,8e-06,8e-06,3.289,0.048,0.048,,,,89.53,,,0.76,0.28,0.28,5.41,2.72,2.72,16.835,0.998,0.998,1.04,0.52,0.52,0.0,,,0.85,0.04,0.04,0.04493,0.00085,0.00079
Kepler-257 d,Transit,2455022.02052,0.00102,0.00102,24.664551,5.1e-05,5.1e-05,2.655,0.066,0.066,,,,88.98,,,0.13,0.23,0.23,4.95,2.48,2.48,41.0,11.0,11.0,1.04,0.52,0.52,0.0,,,0.85,0.04,0.04,0.0519,0.0029,0.0029
Kepler-258 b,Transit,2455004.54424,0.00075,0.00075,13.19722,1.9e-05,1.9e-05,3.418,0.026,0.026,,,,88.71,,,0.11,0.17,0.17,4.06,2.71,2.71,30.33,1.3,1.3,0.92,0.61,0.61,0.0,,,0.82,0.03,0.04,0.04264,0.00096,0.00051
Kepler-258 c,Transit,2454980.79807,0.0036,0.0036,33.653079,0.000189,0.000189,4.126,0.099,0.099,,,,89.42,,,0.85,0.31,0.31,3.61,2.43,2.43,55.9,16.6,16.6,0.92,0.61,0.61,0.0,,,0.82,0.03,0.04,0.03844,0.00085,0.00602
Kepler-259 b,Transit,2455007.51955,0.00159,0.00159,8.115317,2.2e-05,2.2e-05,2.954,0.054,0.054,,,,84.3,,,0.75,0.28,0.28,2.8,1.37,1.37,9.22,4.5,4.5,0.9,0.43,0.43,0.0,,,0.93,0.04,0.05,0.02765,0.00224,0.00071
Kepler-259 c,Transit,2455007.22336,0.00267,0.00267,36.924931,0.000181,0.000181,4.723,0.09,0.09,,,,88.6,,,0.03,0.2,0.2,2.7,1.31,1.31,61.36,4.9,4.9,0.9,0.43,0.43,0.0,,,0.93,0.04,0.05,0.028,0.00081,0.00044
Kepler-26 b,Transit,2456471.2497,0.0006,0.0006,12.28,0.0003,0.0003,2.7096,0.0198,0.0198,,,,89.93,,,0.475,0.1,0.1,2.78,0.11,0.11,36.27,0.422,0.422,0.51,0.02,0.02,0.0,,,0.54,0.03,0.03,0.04823,0.00049,0.00024
Kepler-26 c,Transit,2456470.183,0.0007,0.0008,17.2559,0.0006,0.0006,2.0371,0.0447,0.0447,,,,89.09,,,0.828,0.1,0.1,2.72,0.12,0.12,38.5,5.2,5.2,0.51,0.02,0.02,0.0,,,0.54,0.03,0.03,0.0467,0.0011,0.0011
Kepler-26 d,Transit,2454969.25903,0.00253,0.00253,3.543919,1.5e-05,1.5e-05,2.012,0.079,0.079,,,,89.91,,,0.31,0.23,0.23,1.07,0.06,0.06,14.476,0.156,0.156,0.57,0.03,0.03,0.0,,,0.62,0.02,0.03,0.02056,0.00055,0.00021
Kepler-26 e,Transit,2454969.74318,0.00224,0.00224,46.827915,0.000173,0.000173,2.084,0.103,0.103,,,,89.87,,,0.77,0.07,0.07,2.41,0.15,0.15,75.0,10.0,10.0,0.57,0.03,0.03,0.0,,,0.62,0.02,0.03,0.03633,0.00063,0.00117
